ts	imei	mwra	p.android.settings	p.system	p.android.gm	p.android.externalstorage	p.android.chrome	p.android.documentsui	p.android.packageinstaller	p.google	p.inputmethod.latin	p.olauncher	p.android.vending	p.android.defcontainer	p.process.gapps	p.katana	p.simulator	p.gms.persistent	p.android.gms	p.browser.provider	p.notifier	p.dogalize
2018-05-05 10:10:00	359043379931766031	0.00000	11.55679	14.69074	9.99560	12.93619	14.56883	14.67967	16.27103	0.00330	44.05430	69.92911	42.57645	60.04598	91.86282	89.19198	88.98883	27.10393	33.17697	1.49454	60.04155	76.30671
2018-05-05 10:11:00	359043379931766429	0.00000	12.68078	12.88954	17.23691	9.98370	16.52877	13.57427	16.25001	0.01014	54.17077	62.87848	53.22781	40.83196	67.30696	73.17380	0.22469	44.07309	33.10211	82.73506	18.87348	11.31541
2018-05-05 10:12:00	8630330696303481305	1.00000	15.39507	6.11301	10.01772	12.27958	12.83344	10.89443	14.38570	0.15244	44.29273	60.69836	47.77581	60.08916	23.52803	14.38462	25.50671	52.22882	13.84085	40.86371	78.07615	3.37357
2018-05-05 10:13:00	8630330696303481982	1.00000	14.78575	11.53080	11.83814	9.32732	17.20107	13.56324	8.15411	0.08287	35.28840	78.47417	50.09683	34.81070	81.87947	34.67481	19.33376	59.61749	62.91510	2.79237	58.31995	89.34383
2018-05-05 10:14:00	359043379931766197	0.00000	10.07664	13.12424	14.87293	10.62025	17.35411	16.10564	12.06480	0.00076	48.97774	48.05644	73.91155	59.59904	80.47889	69.26948	83.24121	13.50985	76.17762	42.06308	18.49699	26.73061
2018-05-05 10:15:00	8630330696303481545	1.00000	14.19275	9.49247	11.43196	12.68514	14.12364	10.89375	14.16161	0.04584	70.43765	80.60629	45.03263	30.18322	79.03426	8.38626	87.81828	81.65955	98.65305	25.10387	82.71275	97.28041
2018-05-05 10:16:00	3590433799317662105	0.00000	12.99100	13.90266	14.26901	12.41459	13.37548	15.93184	17.39771	0.01381	69.57083	52.33323	52.75262	50.37274	84.25701	49.46672	66.47796	29.82143	6.32251	5.09358	30.34674	12.29609
2018-05-05 10:17:00	8630330696303481347	0.00000	11.28430	15.66037	15.87152	11.12276	14.51088	10.71691	17.21327	0.00253	62.36719	74.44514	16.42120	58.21022	76.54186	96.84015	57.62434	88.40421	91.11812	86.69887	11.47933	58.75426
2018-05-05 10:18:00	359043379931766601	0.00000	13.10649	17.00732	14.82716	12.20846	14.39685	14.57934	9.83421	0.01547	54.81917	59.46719	28.31447	34.77018	31.01149	50.97089	70.73740	50.11280	12.99767	32.42468	43.13560	41.51731
2018-05-05 10:19:00	8630330696303481156	1.00000	14.38398	9.46863	9.53901	10.00474	18.62148	10.09591	9.68800	0.05546	34.21248	33.07053	32.15909	36.77220	87.41884	90.29637	27.39376	4.17369	53.67629	79.87944	16.41402	77.97254
2018-05-05 10:20:00	3590433799317661420	0.00000	13.60475	14.54791	16.44747	11.86002	17.75696	15.14143	12.96836	0.02548	60.19195	64.93436	36.62407	45.09938	10.39254	87.98258	30.28416	97.52521	42.81993	10.55809	25.85864	56.04635
2018-05-05 10:21:00	8630330696303481222	1.00000	8.99938	12.14896	8.42254	13.00290	13.05453	11.49764	16.32888	0.00029	65.88252	67.04426	54.69159	42.26961	63.74579	87.91320	49.87615	78.51829	82.71117	38.04037	17.52657	12.90582
2018-05-05 10:22:00	8630330696303481503	1.00000	13.61672	12.21884	11.25211	11.96527	15.05216	12.92121	8.73673	0.02577	58.37071	64.31367	43.04801	66.63989	92.46377	4.76157	7.04528	98.15763	62.91756	90.49518	29.76911	97.74689
2018-05-05 10:23:00	3590433799317662147	1.00000	9.90433	14.90201	9.66947	16.27878	14.65210	12.55107	16.13395	0.00066	55.20521	55.13383	65.88792	73.92683	37.38034	38.31944	87.68315	3.71484	26.98625	12.64268	7.05819	63.14725
2018-05-05 10:24:00	359043379931766460	1.00000	10.58352	14.66813	14.07285	13.17633	11.89348	14.31766	17.94888	0.00127	49.63631	46.08682	55.32877	44.18332	91.29998	45.68540	36.36715	55.27341	67.33947	87.94201	82.67505	12.25623
2018-05-05 10:25:00	3590433799317661339	1.00000	10.30313	13.96848	10.79452	14.31614	13.79245	10.95780	14.36205	0.00098	48.81561	70.18555	55.73545	58.19213	82.66887	38.92583	0.86466	92.21636	51.97359	74.67070	69.91600	21.74642
2018-05-05 10:26:00	8630330696303481966	0.00000	13.93356	14.50773	14.99505	9.74244	15.79458	16.11344	13.37575	0.03538	62.58500	54.53426	47.70295	38.67566	37.55516	76.18133	87.38133	13.67366	9.54746	66.39500	97.98580	50.07055
2018-05-05 10:27:00	8630330696303481693	0.00000	11.59968	14.29986	12.06298	13.09916	13.54717	12.18678	17.55429	0.00348	44.67633	35.89173	48.79127	59.69977	2.05805	13.50552	20.84626	95.43096	50.94137	10.74291	3.96100	86.55446
2018-05-05 10:28:00	863033069630348404	1.00000	14.97430	12.02364	11.43424	9.64959	17.53867	12.00445	14.78365	0.10007	59.04985	41.87460	70.11562	43.30006	57.63129	51.00561	15.72140	86.39816	69.22420	13.27337	53.83399	77.47550
2018-05-05 10:29:00	863033069630348438	0.00000	13.96008	12.78498	13.84262	11.57317	15.48844	10.51857	17.58588	0.03630	62.01082	60.20503	41.04582	66.87284	19.44726	5.03012	77.26811	69.62767	22.80661	4.55324	23.31913	73.38312
2018-05-05 10:30:00	359043379931766015	0.00000	12.56179	11.20215	8.94741	11.18662	11.02107	12.62520	13.14187	0.00898	44.16487	51.04984	46.49836	53.61331	49.06496	78.49414	87.16109	94.78046	89.29505	97.45292	45.65514	50.68897
2018-05-05 10:31:00	8630330696303481404	0.00000	10.07123	16.50347	15.03269	11.20407	13.11902	14.09087	15.08490	0.00076	29.17696	37.61446	72.23758	34.65843	33.02258	49.99709	49.49250	81.81262	25.12805	28.16728	23.87570	16.12413
2018-05-05 10:32:00	8630330696303481370	0.00000	10.30761	13.80316	14.43654	9.39985	12.33965	17.05387	12.00675	0.00095	31.01762	63.19061	57.86651	53.04549	11.96701	28.70765	80.78047	31.36523	31.43101	69.06526	97.17931	69.21235
2018-05-05 10:33:00	3590433799317661297	1.00000	11.16543	12.60638	11.43426	10.94756	17.41231	11.15221	16.35123	0.00228	26.32143	56.32232	54.87079	40.94729	42.89337	29.79252	36.40949	21.01366	20.29808	89.73505	70.35188	1.06865
2018-05-05 10:34:00	359043379931766171	1.00000	17.26563	8.32501	11.34768	7.02257	17.92980	12.01791	7.84825	0.98951	56.21106	53.26946	59.58554	43.33665	1.69699	4.16474	59.31515	59.74793	12.30089	2.41931	31.71105	81.72923
2018-05-05 10:35:00	8630330696303482485	1.00000	12.82848	12.85263	12.65163	12.63472	14.27124	7.78870	14.00771	0.01173	51.29849	45.99958	30.98704	34.66075	38.95312	46.78511	0.73135	93.62073	7.75353	84.30578	67.99652	63.82015
2018-05-05 10:36:00	3590433799317661610	1.00000	12.25589	12.75862	9.71565	14.10690	14.69560	13.77089	14.17876	0.00664	38.76043	49.31001	51.26112	33.37120	81.13999	25.83606	69.88231	14.60634	13.35256	21.37310	26.07162	96.24777
2018-05-05 10:37:00	8630330696303482089	1.00000	15.28499	9.39199	10.60677	10.02747	18.40770	11.37917	8.47358	0.13656	39.97128	52.93860	56.45727	52.80447	59.68488	65.52494	29.64406	40.23572	22.25861	17.69408	31.31211	81.84908
2018-05-05 10:38:00	359043379931766437	1.00000	14.90383	10.39605	12.16384	12.21291	13.38137	9.47714	11.72139	0.09330	28.35308	51.40895	40.18374	47.85509	72.41636	99.40362	3.27873	90.70094	51.97068	10.63735	23.57597	77.31911
2018-05-05 10:39:00	8630330696303482220	1.00000	11.24167	14.23346	8.79185	14.29532	16.49853	10.75320	15.10526	0.00243	42.49636	34.03702	57.12246	56.79831	91.78909	37.25155	3.85825	54.45424	1.20156	25.64102	46.70340	18.40392
2018-05-05 10:40:00	3590433799317661974	0.00000	10.59901	17.12368	14.63102	11.96852	14.64972	13.89180	14.00891	0.00130	33.87516	48.84515	68.12557	51.36979	43.10030	43.22106	9.79665	86.84878	79.67281	52.20807	81.71604	82.20361
2018-05-05 10:41:00	8630330696303482360	1.00000	13.01096	12.93571	12.28827	11.98383	14.57143	10.21217	14.15635	0.01406	28.64194	41.12079	43.74189	72.67418	58.10135	44.07828	53.65579	52.57936	26.12054	96.70417	12.70112	48.06136
2018-05-05 10:42:00	359043379931766353	0.00000	10.22890	15.78762	14.48350	11.18777	14.28710	14.40237	15.07226	0.00088	77.58369	51.86791	50.33064	62.24069	87.52162	12.77419	24.91340	66.77351	17.36029	39.68411	17.22434	12.53470
2018-05-05 10:43:00	3590433799317661966	0.00000	16.14712	14.08048	12.29096	10.23716	12.45925	12.03704	13.72934	0.32334	58.09666	42.18306	63.68303	66.40376	3.09565	77.14857	8.89786	36.61435	18.00201	20.90121	2.23829	97.77094
2018-05-05 10:44:00	863033069630348875	0.00000	15.95953	12.37602	12.82643	9.91818	13.28765	8.00122	14.35509	0.26805	50.67187	65.44281	67.42562	63.09349	5.37467	50.90004	44.75748	95.18891	89.48637	52.51437	62.97085	35.08071
2018-05-05 10:45:00	3590433799317662352	1.00000	16.25009	13.81024	11.48237	10.45046	13.42652	11.59525	10.99561	0.35843	53.29078	42.02228	38.19636	41.79608	80.88004	89.24699	41.58504	20.75932	66.26990	98.37711	56.52927	30.34884
2018-05-05 10:46:00	3590433799317661206	0.00000	10.63214	17.10483	15.28977	10.90546	13.09061	10.03507	13.60612	0.00132	17.00146	75.46913	39.91618	48.19709	68.46731	72.61119	31.24781	51.40795	6.41557	46.21961	28.26856	94.08783
2018-05-05 10:47:00	3590433799317661966	0.00000	15.96157	17.06082	9.83043	10.30801	14.84911	13.42961	15.19557	0.26861	40.40729	63.10595	47.55127	63.27879	44.08640	15.83389	33.73422	89.95223	82.95997	22.75693	66.60016	86.88603
2018-05-05 10:48:00	863033069630348032	1.00000	13.54403	14.87690	15.66055	9.92804	15.31617	14.98511	13.59938	0.02398	58.57027	48.65172	64.35409	50.60768	91.98212	30.72145	11.15743	11.82483	78.39964	9.66281	33.71504	9.88902
2018-05-05 10:49:00	863033069630348115	1.00000	12.70366	9.43681	11.55923	12.37295	17.59340	10.80451	9.16919	0.01038	69.49218	58.72973	72.78181	42.72302	58.81849	44.79756	24.92986	11.62550	5.24588	59.88846	6.96234	31.18466
2018-05-05 10:50:00	863033069630348297	1.00000	9.93230	15.99313	11.45608	16.13140	14.35382	9.50872	14.61722	0.00065	37.24948	59.18774	53.03142	89.16093	16.64244	81.74447	60.45822	33.78242	48.21622	85.80116	22.12305	21.88036
2018-05-05 10:51:00	8630330696303481925	0.00000	14.48939	14.08816	16.69976	11.70162	15.28849	11.32661	13.58433	0.06164	57.71148	42.83805	67.49411	23.88114	27.68993	98.25537	40.49099	57.89317	31.33712	61.46339	5.34080	33.43552
2018-05-05 10:52:00	863033069630348065	1.00000	12.52348	7.76359	12.32585	12.91668	16.35475	12.19648	11.68806	0.00867	48.02300	63.18733	61.40888	30.33768	61.09206	85.38442	81.16358	77.80948	28.83369	19.09338	19.43615	3.17330
2018-05-05 10:53:00	359043379931766890	1.00000	13.54362	13.24522	10.33314	11.64242	13.18489	11.58751	12.56778	0.02394	31.21776	66.04442	63.75275	46.42989	87.93455	1.04334	6.97391	30.74009	69.27378	63.23551	12.46528	54.48433
2018-05-05 10:54:00	863033069630348636	0.00000	11.84581	15.28200	8.72193	15.86212	15.73902	13.66096	18.54283	0.00440	35.99381	48.27418	49.17910	54.24650	28.34172	94.11124	2.85202	73.94043	11.98595	82.30759	75.15920	19.24840
2018-05-05 10:55:00	8630330696303482121	1.00000	17.68124	11.48916	10.53591	11.72317	11.07889	10.12502	11.61103	1.49942	57.13634	40.21720	48.65360	45.76344	92.81170	62.89022	11.61878	32.38274	99.06013	67.00823	39.54629	25.13835
2018-05-05 10:56:00	863033069630348503	1.00000	12.76696	18.39976	15.16568	16.38368	14.65385	4.27648	11.74269	0.01103	50.56686	38.71774	52.13923	40.37950	48.84068	87.80637	87.02777	72.32238	68.02888	43.93473	63.54234	30.39459
2018-05-05 10:57:00	359043379931766403	1.00000	9.74695	14.10387	11.94853	16.18280	14.74041	10.75115	14.30368	0.00053	46.33345	62.38755	29.38425	57.67596	98.84729	25.88211	54.42489	80.56928	86.44969	63.42224	19.43804	92.51809
2018-05-05 10:58:00	8630330696303481636	0.00000	7.84620	10.92009	16.08353	7.76725	16.33278	17.73235	15.78254	0.00011	59.15880	55.05884	54.89860	57.64636	41.66587	35.49665	63.83875	51.45821	72.07777	38.24002	59.81121	47.92762
2018-05-05 10:59:00	359043379931766668	1.00000	12.76886	12.07857	12.36663	12.32373	14.35211	11.14150	11.09165	0.01104	45.49185	51.88395	55.87633	59.41414	72.46740	42.96821	48.66214	80.31805	70.93935	87.64237	74.80791	44.52650
2018-05-05 11:00:00	3590433799317662212	1.00000	9.93981	11.53266	9.96594	10.73177	12.36979	13.54686	16.26299	0.00069	34.15855	82.78576	49.66046	69.87776	14.74099	43.27760	63.51865	92.90371	84.35676	25.70576	59.80155	16.14596
2018-05-05 11:01:00	8630330696303482279	1.00000	11.58138	15.85988	11.98864	16.30518	17.26499	8.67847	11.93649	0.00339	54.44558	64.46462	34.55328	60.88089	87.44101	34.30398	74.76731	95.38783	53.50369	9.33123	36.99064	9.45740
2018-05-05 11:02:00	863033069630348511	0.00000	13.01780	14.39305	14.32686	11.32743	13.89451	12.72304	14.23601	0.01418	39.16891	69.29968	57.29857	50.84011	24.58211	85.35514	48.28262	71.91936	52.53110	96.86836	47.96237	89.15655
2018-05-05 11:03:00	3590433799317661867	1.00000	13.72524	12.83513	14.24084	12.50065	14.70056	12.98212	11.81727	0.02871	73.29310	47.46476	31.40534	38.42724	6.32786	80.54351	93.29356	36.69969	16.62380	7.14886	3.67480	35.60806
2018-05-05 11:04:00	359043379931766320	1.00000	6.34078	17.15109	9.91850	18.34374	13.82278	12.34908	16.90150	0.00002	29.82576	69.05829	39.67730	38.80851	18.58985	46.60768	27.88403	74.90679	82.39366	87.60958	87.51881	36.97447
2018-05-05 11:05:00	3590433799317662485	1.00000	11.70227	16.39189	9.94655	18.31515	15.23924	12.83183	14.49947	0.00384	56.43335	51.14791	56.14807	25.83401	12.44073	96.17385	72.35182	49.66659	10.66577	51.60090	36.84462	7.25601
2018-05-05 11:06:00	8630330696303481214	0.00000	15.19613	10.40802	11.37085	9.17800	13.70535	10.66742	13.58811	0.12495	32.73360	49.11803	41.45513	40.00372	74.86812	30.10726	21.87403	62.05840	76.51164	7.49316	67.05662	92.64006
2018-05-05 11:07:00	863033069630348628	1.00000	16.76317	8.63566	13.76864	11.81566	15.07385	8.61471	12.67746	0.59870	64.09422	64.09733	57.43871	20.90854	17.84769	47.10759	42.28660	0.19241	45.06095	16.28257	90.20929	33.07034
2018-05-05 11:08:00	3590433799317661909	0.00000	12.80987	15.50737	10.04989	17.22498	16.65312	12.33443	14.00602	0.01153	49.78945	64.01222	36.43084	70.45277	52.40279	93.89179	93.44777	3.25769	90.24907	31.54244	84.68233	53.38686
2018-05-05 11:09:00	8630330696303481701	1.00000	14.68560	12.57491	11.62870	10.81623	14.23822	9.79704	13.04753	0.07500	49.76084	53.50975	47.97553	53.63476	84.68537	77.59075	15.51402	82.22101	34.87936	44.90712	98.11320	20.21420
2018-05-05 11:10:00	8630330696303482378	1.00000	11.27638	15.10211	11.72486	13.98980	13.87464	10.78409	16.38416	0.00249	57.33243	41.53402	45.44431	39.14799	89.80977	0.17628	32.98127	28.73083	48.41268	39.01683	22.25151	82.87044
2018-05-05 11:11:00	359043379931766767	1.00000	15.83525	10.87088	7.64637	9.09387	11.64549	8.89324	12.68040	0.23670	30.18147	38.32841	33.43448	56.39376	0.91755	63.22536	49.10914	65.51407	49.54336	80.09739	72.77940	84.22686
2018-05-05 11:12:00	8630330696303481669	1.00000	13.47928	10.75384	11.36453	7.95337	15.33563	10.95855	7.33348	0.02248	71.17390	36.74768	38.29675	54.96592	13.36714	85.77843	50.93457	13.04984	4.18977	76.86535	61.95259	56.43511
2018-05-05 11:13:00	863033069630348768	0.00000	8.31259	14.85511	15.71441	9.78970	13.78888	15.39277	12.91657	0.00015	32.70907	39.01841	28.10106	45.12859	41.39292	79.35735	39.49746	1.01815	14.26912	33.52842	69.00550	94.53429
2018-05-05 11:14:00	8630330696303481461	0.00000	12.81306	15.75755	13.77077	11.95503	14.20129	11.86045	13.78391	0.01155	65.95929	70.58897	56.98400	35.68612	51.46017	80.28230	4.19559	63.63779	20.45175	58.86616	20.66721	41.95036
2018-05-05 11:15:00	8630330696303481883	1.00000	12.89916	13.50251	12.12152	15.58571	14.81008	10.04902	11.20257	0.01258	44.10026	39.83449	62.06772	52.38559	50.86083	15.63662	93.19556	77.83994	25.63888	22.91230	36.23704	47.82940
2018-05-05 11:16:00	3590433799317661917	1.00000	11.75474	14.96784	11.62421	13.36490	12.61344	11.94704	13.86500	0.00404	41.94243	66.46864	62.31255	63.88070	15.57048	12.06063	33.50671	62.70636	78.75849	47.46702	90.39212	1.95563
2018-05-05 11:17:00	359043379931766700	1.00000	12.10821	13.98550	13.36902	9.58576	13.04823	14.49560	12.62699	0.00575	48.45856	51.62114	42.84222	73.60110	63.69180	8.73262	25.39815	83.06842	20.70766	13.09641	64.97012	73.58017
2018-05-05 11:18:00	3590433799317661420	0.00000	10.93848	16.10145	13.89715	12.43214	14.70385	16.09255	14.09378	0.00178	62.64796	48.11267	57.45858	36.12764	11.74846	26.89350	51.47982	84.13157	29.31616	89.78436	30.94261	77.70203
2018-05-05 11:19:00	8630330696303481925	1.00000	9.72131	16.82159	12.27095	16.65335	15.49283	9.11991	16.77539	0.00054	51.90502	76.39182	36.62914	51.39743	90.47242	58.84660	26.00384	71.27677	13.10692	73.45671	73.70824	63.66027
2018-05-05 11:20:00	8630330696303481693	1.00000	9.82378	12.36268	12.30218	16.30984	13.37188	9.98397	12.11159	0.00060	59.31592	56.42730	46.67460	29.59262	30.78435	54.96573	62.52738	57.18121	44.47009	32.82504	31.42431	38.29059
2018-05-05 11:21:00	8630330696303481024	1.00000	10.15163	13.13213	10.81677	15.52538	11.74754	12.33044	15.04621	0.00083	50.27404	77.20176	59.83651	61.32423	47.52863	0.92152	25.29491	55.99748	20.76710	94.24183	16.31809	56.63243
2018-05-05 11:22:00	3590433799317662493	1.00000	7.70959	14.61761	13.35325	13.54665	13.52098	9.89877	15.87118	0.00010	79.89654	68.33599	59.46148	60.59849	64.95890	4.65765	48.01631	64.58400	41.15580	79.63176	9.11802	10.43540
2018-05-05 11:23:00	359043379931766288	1.00000	9.99965	15.78053	11.60891	14.47778	14.00348	9.94856	15.25867	0.00071	48.12730	56.23890	64.57078	68.11828	54.44848	0.55623	9.21399	89.17419	31.35103	83.28380	82.77492	16.01242
2018-05-05 11:24:00	8630330696303481990	1.00000	9.13851	16.38972	8.16999	14.82073	16.06528	9.16221	15.57432	0.00033	55.90360	46.75260	76.53530	41.50168	85.32285	38.44327	74.45288	79.24580	15.51846	2.33522	65.09212	78.09690
2018-05-05 11:25:00	3590433799317662295	1.00000	14.11463	11.73916	13.09017	10.42980	14.54911	13.22883	12.71692	0.04240	47.93524	78.38692	38.11818	52.68924	80.64315	69.16958	62.84101	6.21110	92.39369	45.61921	69.67752	34.99226
2018-05-05 11:26:00	359043379931766189	1.00000	14.46736	11.95469	11.92772	9.71162	14.06353	9.72092	11.80875	0.06029	55.38164	53.48284	57.42091	55.12863	71.53402	77.95726	17.32423	51.85807	65.05895	78.88623	13.46165	29.45800
2018-05-05 11:27:00	359043379931766213	1.00000	15.11103	10.01679	8.68765	13.98586	12.67708	13.00204	12.83855	0.11472	43.56783	51.82735	61.24637	61.40223	5.96911	55.78738	88.52865	47.85159	28.89024	45.12166	21.45270	37.00382
2018-05-05 11:28:00	359043379931766684	0.00000	14.46011	19.44646	15.24762	12.46737	16.79885	16.02533	14.89633	0.05984	47.11456	42.79807	56.50869	54.56919	4.66707	24.04663	76.17196	66.14015	60.19203	91.64901	62.91909	67.71968
2018-05-05 11:29:00	3590433799317662113	1.00000	15.00853	14.75454	11.57729	10.18495	14.56171	10.93261	11.69573	0.10355	52.04034	57.24172	31.02659	57.23748	49.66763	68.02190	5.11601	55.14473	7.97568	82.03130	7.25781	43.27909
2018-05-05 11:30:00	8630330696303482279	1.00000	17.33940	7.94341	10.90010	11.51333	11.52309	9.95118	15.53776	1.06526	65.19255	42.01127	56.54776	61.29990	55.96628	46.72788	83.05279	27.57701	13.29486	27.46378	63.00322	75.53842
2018-05-05 11:31:00	8630330696303481206	1.00000	15.54421	8.57295	11.02577	10.61072	15.27372	11.10608	10.90744	0.17697	57.99800	41.52378	57.37379	45.25149	31.63494	73.01244	80.68464	96.54545	62.29209	89.26972	63.65355	86.80213
2018-05-05 11:32:00	8630330696303481834	1.00000	13.53788	9.34896	11.16787	10.73333	12.82139	10.80332	13.26830	0.02384	48.50304	75.02421	43.06884	58.74341	16.07396	24.08787	14.70888	25.77635	23.06300	1.74941	30.86562	0.01436
2018-05-05 11:33:00	8630330696303482113	1.00000	6.89191	13.97248	10.19923	18.92202	14.11242	12.24129	15.51060	0.00006	52.60383	72.79704	47.14512	51.76747	74.20070	38.32989	12.20765	45.58063	93.06212	96.14326	1.88831	96.82117
2018-05-05 11:34:00	863033069630348990	1.00000	16.00665	7.75770	8.58334	12.04599	11.95437	9.09017	15.44455	0.28100	32.17059	77.14011	49.96790	48.81298	71.81931	13.89826	13.94608	91.72771	9.17891	27.19076	21.23422	14.64801
2018-05-05 11:35:00	8630330696303482394	1.00000	11.54119	13.95210	10.16501	16.08778	15.84908	12.08639	15.32220	0.00325	62.09427	52.68490	42.88305	61.58134	54.58328	71.60620	40.90718	67.02508	10.28084	17.67784	9.08868	7.76525
2018-05-05 11:36:00	3590433799317661818	1.00000	8.57539	15.52884	11.49908	18.28685	13.54002	11.70088	15.86685	0.00020	42.95195	54.93583	45.84819	46.79580	17.52196	81.33861	13.60987	56.89178	85.19267	74.63578	57.38054	57.01626
2018-05-05 11:37:00	8630330696303481313	0.00000	16.00166	14.72320	12.40505	13.12597	15.73413	15.09663	16.45232	0.27959	40.22719	64.55574	59.43700	33.04426	78.45057	18.88288	98.43637	59.59338	44.85465	38.53016	26.02503	63.01011
2018-05-05 11:38:00	3590433799317662345	1.00000	14.10556	11.38779	11.46645	7.83111	15.21895	11.29128	7.85913	0.04200	39.44089	31.50460	51.48374	25.56499	88.41580	96.06355	81.40848	97.44010	62.66700	95.21871	36.95618	38.53343
2018-05-05 11:39:00	8630330696303481107	1.00000	14.62574	12.84733	12.64696	13.39813	9.06192	9.78055	15.02111	0.07066	74.57776	36.65203	74.40429	43.48418	77.48806	13.96261	56.56230	14.94584	15.97043	9.44562	75.71019	17.70603
2018-05-05 11:40:00	8630330696303481925	0.00000	6.34476	12.98323	15.78942	9.88193	16.03322	16.57149	14.79889	0.00003	41.23285	45.84721	55.99430	41.76636	53.39736	15.08018	87.16336	13.54705	62.83732	29.91001	36.72071	79.04280
2018-05-05 11:41:00	8630330696303481297	0.00000	14.17834	13.33126	13.02012	12.43747	11.71393	11.70396	11.04043	0.04519	58.69235	49.07472	54.28295	48.39139	4.75341	51.17184	66.92762	53.46434	20.33273	27.76161	0.74605	92.85140
2018-05-05 11:42:00	8630330696303482345	0.00000	8.04536	10.74119	14.92191	9.34733	15.27680	19.38298	16.39829	0.00011	57.38636	63.07700	61.62065	47.60611	10.11698	67.92256	69.04068	20.49156	31.48255	13.35575	37.31581	31.80470
2018-05-05 11:43:00	863033069630348305	1.00000	14.74997	7.17158	8.88690	13.92456	20.54740	16.37769	10.40746	0.07996	48.20831	62.82781	56.60311	13.04684	21.26551	77.37489	4.12868	79.08808	97.83477	29.59068	23.06243	73.93779
2018-05-05 11:44:00	3590433799317662154	0.00000	8.51315	15.66649	12.54201	19.41314	11.35581	9.45851	12.76886	0.00018	73.01974	45.55218	43.38662	51.28308	11.74643	69.74412	50.48669	72.37284	73.18104	92.21164	4.56804	48.69503
2018-05-05 11:45:00	359043379931766031	0.00000	12.88045	16.69621	17.14348	8.30287	15.26948	15.93620	14.29971	0.01235	50.94520	66.83457	64.78035	35.32214	94.05132	93.40392	95.36157	35.34523	97.09934	34.33378	88.60632	16.80150
2018-05-05 11:46:00	3590433799317661404	0.00000	14.13114	17.31095	16.38285	9.95745	15.44301	14.88500	14.89582	0.04309	71.19468	48.08446	39.91522	62.23420	52.73098	50.53453	0.17305	94.00028	45.24738	1.91394	0.26757	68.04084
2018-05-05 11:47:00	8630330696303481024	0.00000	10.77378	14.00142	13.08524	11.75392	15.25799	14.99173	14.50306	0.00152	35.48147	60.67959	41.50454	47.64162	18.34494	27.77132	0.42548	20.34689	23.88275	12.35713	9.99344	36.83084
