latitude	longitude	store_name	code	location	imei
-31.4488	-60.93173	Esperanza	AR	America/Argentina/Cordoba	8630330696303481586
48.73218	11.18709	Neuburg an der Donau	DE	Europe/Berlin	8630330696303482154
55.54028	89.20083	Sharypovo	RU	Asia/Krasnoyarsk	3590433799317661982
51.78771	56.36091	Saraktash	RU	Asia/Yekaterinburg	359043379931766239
6.9909	79.883	Hendala	LK	Asia/Colombo	863033069630348636
33.08014	-83.2321	Milledgeville	US	America/New_York	863033069630348982
43.31667	-2.68333	Gernika-Lumo	ES	Europe/Madrid	863033069630348537
6.15038	6.83042	Nkpor	NG	Africa/Lagos	8630330696303481636
44.35056	142.45778	Nayoro	JP	Asia/Tokyo	863033069630348537
50.86079	17.4674	Brzeg	PL	Europe/Warsaw	359043379931766171
52.57583	6.61944	Hardenberg	NL	Europe/Amsterdam	359043379931766411
46.67535	5.55575	Lons-le-Saunier	FR	Europe/Paris	863033069630348297
65.84811	24.14662	Tornio	FI	Europe/Helsinki	8630330696303481222
20.88953	-156.47432	Kahului	US	Pacific/Honolulu	3590433799317662030
27.92333	118.53333	Pucheng	CN	Asia/Shanghai	8630330696303481289
23.29549	113.82465	Licheng	CN	Asia/Shanghai	8630330696303481859
35.82756	137.95378	Ina	JP	Asia/Tokyo	3590433799317661693
28.88162	120.03308	Guli	CN	Asia/Shanghai	8630330696303481586
39.78504	-85.76942	Greenfield	US	America/Indiana/Indianapolis	3590433799317662337
47.05	15.46667	Sankt Peter	AT	Europe/Vienna	3590433799317662022
51.26	-2.1875	Westbury	GB	Europe/London	863033069630348313
53.93361	37.92792	Kireyevsk	RU	Europe/Moscow	3590433799317662329
19.32932	-98.1664	Contla	MX	America/Mexico_City	3590433799317662055
35.05266	-78.87836	Fayetteville	US	America/New_York	863033069630348925
42.22718	14.39024	Lanciano	IT	Europe/Rome	8630330696303481586
31.96258	73.97117	Naushahra Virkan	PK	Asia/Karachi	359043379931766130
41.85059	-87.882	Westchester	US	America/Chicago	3590433799317661537
40.81	-73.9625	Morningside Heights	US	America/New_York	3590433799317661909
56.9083	60.8019	Beryozovsky	RU	Asia/Yekaterinburg	8630330696303482113
48.98333	2.61667	Mitry-Mory	FR	Europe/Paris	3590433799317661586
52.59319	13.32127	Wittenau	DE	Europe/Berlin	863033069630348339
-12.91667	-39.25	Muritiba	BR	America/Bahia	359043379931766445
53.5942	25.8191	Novogrudok	BY	Europe/Minsk	8630330696303481693
9.89206	43.38531	Baki	SO	Africa/Mogadishu	8630330696303481289
1.6	103.81667	Ulu Tiram	MY	Asia/Kuala_Lumpur	863033069630348107
7.65649	4.92235	Efon-Alaaye	NG	Africa/Lagos	3590433799317662444
39.96097	-75.60804	West Chester	US	America/New_York	3590433799317661669
17.30858	97.01124	Kyaikto	MM	Asia/Yangon	863033069630348669
50.8	3.16667	Wevelgem	BE	Europe/Brussels	8630330696303482295
37.51803	15.00913	Misterbianco	IT	Europe/Rome	8630330696303482469
42.28639	18.84	Budva	ME	Europe/Podgorica	863033069630348222
47.38093	-122.23484	Kent	US	America/Los_Angeles	3590433799317661438
-28.24	-48.67028	Imbituba	BR	America/Sao_Paulo	8630330696303481685
45.4473	-73.75335	Dorval	CA	America/Toronto	863033069630348842
2.2139	102.3278	Kampung Ayer Molek	MY	Asia/Kuala_Lumpur	359043379931766395
-7.60361	37.00438	Kidodi	TZ	Africa/Dar_es_Salaam	8630330696303482030
18.87813	72.93924	Uran	IN	Asia/Kolkata	863033069630348495
34.65918	109.22921	Yanliang	CN	Asia/Shanghai	8630330696303481826
60.02427	30.28491	Kolomyagi	RU	Europe/Moscow	8630330696303481370
53.94313	10.30215	Bad Segeberg	DE	Europe/Berlin	8630330696303482022
14.62072	74.83554	Sirsi	IN	Asia/Kolkata	8630330696303482493
-11.78333	19.91667	Luena	AO	Africa/Luanda	8630330696303482006
39.57582	-105.11221	Ken Caryl	US	America/Denver	359043379931766908
32.50611	120.14278	Jiangyan	CN	Asia/Shanghai	359043379931766445
52.4581	13.28702	Dahlem	DE	Europe/Berlin	3590433799317661180
49.03685	8.70745	Bretten	DE	Europe/Berlin	359043379931766130
41.57439	24.71204	Smolyan	BG	Europe/Sofia	863033069630348347
33.72255	-116.37697	Palm Desert	US	America/Los_Angeles	3590433799317661172
6.84019	79.87116	Dehiwala-Mount Lavinia	LK	Asia/Colombo	8630330696303481354
18.87813	72.93924	Uran	IN	Asia/Kolkata	863033069630348909
-7.76667	35.7	Iringa	TZ	Africa/Dar_es_Salaam	863033069630348594
41.66394	-83.55521	Toledo	US	America/New_York	3590433799317662402
51.82721	107.60627	Ulan-Ude	RU	Asia/Irkutsk	3590433799317661941
59.33333	18.28333	Boo	SE	Europe/Stockholm	863033069630348396
-28.81833	-52.51028	Soledade	BR	America/Sao_Paulo	3590433799317662113
-26.93366	29.24152	Standerton	ZA	Africa/Johannesburg	359043379931766148
45.43341	-73.86586	Beaconsfield	CA	America/Toronto	8630330696303482212
15.5439	73.7553	Calangute	IN	Asia/Kolkata	863033069630348040
42.06166	-1.60452	Tudela	ES	Europe/Madrid	863033069630348552
41.27194	123.17306	Liaoyang	CN	Asia/Shanghai	3590433799317661263
0.49113	29.47306	Beni	CD	Africa/Lubumbashi	8630330696303482022
40.92298	14.30935	Afragola	IT	Europe/Rome	8630330696303481032
-7.81667	112.01667	Kediri	ID	Asia/Jakarta	3590433799317661073
33.76446	-117.79394	North Tustin	US	America/Los_Angeles	3590433799317662485
44.75874	19.21437	Bijeljina	BA	Europe/Sarajevo	3590433799317662261
35.64889	117.27583	Sishui	CN	Asia/Shanghai	3590433799317662261
19.32889	-99.32556	San Lorenzo Acopilco	MX	America/Mexico_City	3590433799317662006
16.455	120.5875	La Trinidad	PH	Asia/Manila	3590433799317661487
27.09978	-82.45426	Venice	US	America/New_York	3590433799317661784
51.95838	4.47124	Schiebroek	NL	Europe/Amsterdam	8630330696303481818
53.59782	34.33825	Dyat‚Äôkovo	RU	Europe/Moscow	863033069630348883
58.23583	92.48278	Lesosibirsk	RU	Asia/Krasnoyarsk	8630330696303481578
16.68911	98.50893	Myawadi	MM	Asia/Yangon	3590433799317661057
37.13548	-3.67029	Las Gabias	ES	Europe/Madrid	8630330696303481073
23.1959	86.51499	Kenda	IN	Asia/Kolkata	3590433799317661628
36.76639	3.47717	Boumerdas	DZ	Africa/Algiers	359043379931766106
42.67164	14.01481	Roseto degli Abruzzi	IT	Europe/Rome	359043379931766684
41.47892	-87.45476	Schererville	US	America/Chicago	359043379931766023
41.0051	-73.78458	Scarsdale	US	America/New_York	8630330696303481636
12.97389	123.99333	Sorsogon	PH	Asia/Manila	359043379931766965
41.94175	123.50266	Hushitai	CN	Asia/Shanghai	863033069630348768
22.83957	91.84128	Manikchari	BD	Asia/Dhaka	3590433799317661248
25.13915	73.06784	Sheoganj	IN	Asia/Kolkata	3590433799317661016
13.48082	-86.58208	Somoto	NI	America/Managua	3590433799317661198
11.86064	9.0027	Gaya	NG	Africa/Lagos	8630330696303481214
36.76639	3.47717	Boumerdas	DZ	Africa/Algiers	8630330696303481206
36.76639	3.47717	Boumerdas	DZ	Africa/Algiers	8630330696303482121
51.21667	6.26667	Schwalmtal	DE	Europe/Berlin	359043379931766429
-24.19436	29.00974	Mokopane	ZA	Africa/Johannesburg	359043379931766494
23.02677	113.13148	Foshan	CN	Asia/Shanghai	3590433799317662337
-25.54073	152.70493	Maryborough	AU	Australia/Brisbane	8630330696303482360
27.9247	78.40102	Chharra	IN	Asia/Kolkata	863033069630348487
41.57721	-93.71133	West Des Moines	US	America/Chicago	359043379931766635
50.23805	8.86704	Nidderau	DE	Europe/Berlin	8630330696303481073
53.53395	33.72798	Zhukovka	RU	Europe/Moscow	3590433799317662279
43.71032	-1.05366	Dax	FR	Europe/Paris	359043379931766841
14.62578	121.12251	Antipolo	PH	Asia/Manila	3590433799317661610
47.83333	59.6	Shalqar	KZ	Asia/Aqtobe	3590433799317661727
-36.9256	-73.02841	Chiguayante	CL	America/Santiago	8630330696303481693
7.06273	-1.4001	Mampong	GH	Africa/Accra	8630330696303481214
-33.75881	150.99292	Baulkham Hills	AU	Australia/Sydney	3590433799317661933
48.21644	9.02596	Albstadt	DE	Europe/Berlin	8630330696303481826
52.41667	0.75	Thetford	GB	Europe/London	8630330696303481354
38.47917	-1.325	Jumilla	ES	Europe/Madrid	359043379931766445
15.45144	78.14797	Betamcherla	IN	Asia/Kolkata	3590433799317661016
28.71271	77.656	Pilkhua	IN	Asia/Kolkata	863033069630348149
54.60528	18.34717	Reda	PL	Europe/Warsaw	3590433799317661370
33.43443	-5.22126	Azrou	MA	Africa/Casablanca	863033069630348313
0.49113	29.47306	Beni	CD	Africa/Lubumbashi	359043379931766643
41.92361	20.91361	Bogovinje	MK	Europe/Skopje	8630330696303481958
33.93113	-117.54866	Norco	US	America/Los_Angeles	8630330696303481206
48.86667	2.08333	Marly-le-Roi	FR	Europe/Paris	359043379931766155
-8.76194	-63.90389	Porto Velho	BR	America/Porto_Velho	863033069630348511
10.31672	123.89071	Cebu City	PH	Asia/Manila	359043379931766643
54.03876	43.91385	Kovylkino	RU	Europe/Moscow	863033069630348487
15.46063	99.89166	Thap Than	TH	Asia/Bangkok	3590433799317661495
15.5439	73.7553	Calangute	IN	Asia/Kolkata	863033069630348602
30.76468	74.12286	Kanganpur	PK	Asia/Karachi	8630330696303482329
28.98002	77.70636	Meerut	IN	Asia/Kolkata	359043379931766155
40.49748	44.7662	Hrazdan	AM	Asia/Yerevan	3590433799317661206
43.61062	-72.97261	Rutland	US	America/New_York	3590433799317661875
26.91756	-82.07842	Punta Gorda Isles	US	America/New_York	3590433799317662345
13.51825	99.95469	Damnoen Saduak	TH	Asia/Bangkok	863033069630348552
50.06	43.2379	Mikhaylovka	RU	Europe/Volgograd	3590433799317661321
11.50526	77.23826	Sathyamangalam	IN	Asia/Kolkata	359043379931766536
20.88197	85.83334	Bhuban	IN	Asia/Kolkata	863033069630348271
26.68451	-80.66756	Belle Glade	US	America/New_York	8630330696303481636
48.21644	9.02596	Albstadt	DE	Europe/Berlin	863033069630348412
41.41204	2.18247	el Camp de l'Arpa del Clot	ES	Europe/Madrid	359043379931766387
50.7236	-3.52751	Exeter	GB	Europe/London	359043379931766650
21.53889	71.57737	Gariadhar	IN	Asia/Kolkata	359043379931766056
18.51957	73.85535	Pune	IN	Asia/Kolkata	863033069630348503
58.23583	92.48278	Lesosibirsk	RU	Asia/Krasnoyarsk	359043379931766718
35.48199	137.02166	Minokamo	JP	Asia/Tokyo	8630330696303481396
23.73333	114.68333	Heyuan	CN	Asia/Shanghai	3590433799317661297
35.30889	139.55028	Kamakura	JP	Asia/Tokyo	3590433799317662345
46.67535	5.55575	Lons-le-Saunier	FR	Europe/Paris	863033069630348206
36.20389	127.08472	Nonsan	KR	Asia/Seoul	8630330696303481271
41.57439	24.71204	Smolyan	BG	Europe/Sofia	359043379931766585
42.22718	14.39024	Lanciano	IT	Europe/Rome	359043379931766403
41.09822	120.74792	Nanpiao	CN	Asia/Shanghai	3590433799317661537
10.58806	77.24779	Udumalaippettai	IN	Asia/Kolkata	8630330696303481115
40.63316	-74.13653	Port Richmond	US	America/New_York	3590433799317662451
5.84752	-5.682	Lakota	CI	Africa/Abidjan	3590433799317661214
50.073658	14.418540	Praha	CZ	Europe/Prague	3590433799317661495
40.63316	-74.13653	Port Richmond	US	America/New_York	3590433799317661610
-37.88333	145.06667	Carnegie	AU	Australia/Melbourne	3590433799317661073
42.93369	-72.27814	Keene	US	America/New_York	359043379931766734
7.62789	4.74161	Ilesa	NG	Africa/Lagos	8630330696303482030
51.84819	1.26738	Walton-on-the-Naze	GB	Europe/London	3590433799317661776
36.06386	4.62744	El Achir	DZ	Africa/Algiers	359043379931766528
33.92866	-6.90656	Temara	MA	Africa/Casablanca	863033069630348529
46.67535	5.55575	Lons-le-Saunier	FR	Europe/Paris	3590433799317661131
-10.90889	-37.03861	Barra dos Coqueiros	BR	America/Maceio	863033069630348859
-5.85746	144.23058	Mount Hagen	PG	Pacific/Port_Moresby	863033069630348610
40.72371	-73.95097	Greenpoint	US	America/New_York	3590433799317661909
18.65297	-72.09391	Thomazeau	HT	America/Port-au-Prince	8630330696303481792
-28.24	-48.67028	Imbituba	BR	America/Sao_Paulo	359043379931766965
51.88333	8.51667	Verl	DE	Europe/Berlin	359043379931766312
43.82634	144.09638	Motomachi	JP	Asia/Tokyo	3590433799317661826
-21.41222	-42.19667	Miracema	BR	America/Sao_Paulo	3590433799317662089
37.05944	37.3825	Gaziantep	TR	Europe/Istanbul	8630330696303481826
36.76775	2.95924	Cheraga	DZ	Africa/Algiers	863033069630348180
50.82882	-0.32247	Lancing	GB	Europe/London	8630330696303482048
52.4581	13.28702	Dahlem	DE	Europe/Berlin	8630330696303482428
-38.16604	145.13643	Frankston South	AU	Australia/Melbourne	359043379931766221
-33.38056	-56.52361	Durazno	UY	America/Montevideo	863033069630348420
49.738430	13.373637	Plzeň	CZ	Europe/Prague	3590433799317661412
45.35	126.28333	Shuangcheng	CN	Asia/Shanghai	3590433799317662188
-37.32167	-59.13316	Tandil	AR	America/Argentina/Buenos_Aires	3590433799317661123
10.12268	77.54372	Periyakulam	IN	Asia/Kolkata	863033069630348149
47.98372	10.18527	Memmingen	DE	Europe/Berlin	8630330696303481180
42.06166	-1.60452	Tudela	ES	Europe/Madrid	8630330696303482238
35.82756	137.95378	Ina	JP	Asia/Tokyo	359043379931766049
40.87363	14.34085	Volla	IT	Europe/Rome	359043379931766908
51.4781	57.3552	Kuvandyk	RU	Asia/Yekaterinburg	3590433799317662493
31.92923	34.86563	Ramla	IL	Asia/Jerusalem	8630330696303481826
41.77583	140.73667	Hakodate	JP	Asia/Tokyo	863033069630348610
30.46907	70.96699	Kot Addu	PK	Asia/Karachi	3590433799317661859
49.820923	18.262524	Ostrava	CZ	Europe/Prague	863033069630348404
11.93381	79.82979	Puducherry	IN	Asia/Kolkata	3590433799317661511
36.20829	-115.98391	Pahrump	US	America/Los_Angeles	3590433799317662477
4.88441	101.96857	Gua Musang	MY	Asia/Kuala_Lumpur	863033069630348149
53.37596	51.3452	Otradnyy	RU	Europe/Samara	359043379931766593
53.0233	-1.48119	Belper	GB	Europe/London	863033069630348594
-17.74431	-48.62789	Caldas Novas	BR	America/Sao_Paulo	863033069630348321
12.12278	-61.62498	Grenville	GD	America/Grenada	359043379931766569
48.78232	9.17702	Stuttgart	DE	Europe/Berlin	359043379931766718
20.14298	-77.43532	Media Luna	CU	America/Havana	3590433799317661172
-29.2975	-51.50361	Carlos Barbosa	BR	America/Sao_Paulo	8630330696303481313
46.75451	33.34864	Nova Kakhovka	UA	Europe/Kyiv	8630330696303481560
58.23583	92.48278	Lesosibirsk	RU	Asia/Krasnoyarsk	8630330696303481529
51.47805	6.8625	Oberhausen	DE	Europe/Berlin	8630330696303482113
28.92694	78.23456	Bachhraon	IN	Asia/Kolkata	3590433799317661784
55.62047	37.49338	Tyoply Stan	RU	Europe/Moscow	359043379931766940
29.38242	70.91106	Alipur	PK	Asia/Karachi	359043379931766643
43.31667	-2.68333	Gernika-Lumo	ES	Europe/Madrid	863033069630348644
33.3213	130.94098	Hita	JP	Asia/Tokyo	8630330696303481214
17.30858	97.01124	Kyaikto	MM	Asia/Yangon	8630330696303481628
41.15376	-87.88754	Bourbonnais	US	America/Chicago	8630330696303481446
16.06213	76.0586	Hungund	IN	Asia/Kolkata	8630330696303481297
-21.98333	16.91667	Okahandja	NA	Africa/Windhoek	863033069630348651
44.59445	11.04979	Castelfranco Emilia	IT	Europe/Rome	8630330696303481271
18.42745	-67.15407	Aguadilla	PR	America/Puerto_Rico	359043379931766429
40.60538	-73.75513	Far Rockaway	US	America/New_York	359043379931766569
22.83957	91.84128	Manikchari	BD	Asia/Dhaka	863033069630348719
55.85	37.56667	Likhobory	RU	Europe/Moscow	3590433799317661602
35.815	139.6853	Shimotoda	JP	Asia/Tokyo	863033069630348610
44.80477	-0.59543	Talence	FR	Europe/Paris	8630330696303482477
48.975658	14.480255	České Budějovice	CZ	Europe/Prague	8630330696303481982
15.45144	78.14797	Betamcherla	IN	Asia/Kolkata	8630330696303481008
38.13708	41.00817	Silvan	TR	Europe/Istanbul	3590433799317661008
-38.65333	178.00417	Gisborne	NZ	Pacific/Auckland	8630330696303481818
-3.14306	-58.44417	Itacoatiara	BR	America/Manaus	863033069630348107
27.52948	68.75915	Khairpur Mir‚Äôs	PK	Asia/Karachi	8630330696303481651
41.63976	2.35739	Cardedeu	ES	Europe/Madrid	3590433799317661438
35.21222	2.31889	Ksar Chellala	DZ	Africa/Algiers	863033069630348024
57.30185	39.85331	Gavrilov-Yam	RU	Europe/Moscow	863033069630348420
48.79325	2.29275	Fontenay-aux-Roses	FR	Europe/Paris	8630330696303481669
29.53885	-95.44744	Fresno	US	America/Chicago	8630330696303481735
51.47805	6.8625	Oberhausen	DE	Europe/Berlin	3590433799317661693
-2.90055	-79.00453	Cuenca	EC	America/Guayaquil	3590433799317662394
43.2907	5.4384	Marseille 11	FR	Europe/Paris	8630330696303482394
21.53889	71.57737	Gariadhar	IN	Asia/Kolkata	3590433799317662220
16.06213	76.0586	Hungund	IN	Asia/Kolkata	359043379931766197
38.96372	-76.99081	Chillum	US	America/New_York	3590433799317661891
36.21544	65.93249	Sar-e Pul	AF	Asia/Kabul	863033069630348644
16.0438	120.4861	Manaoag	PH	Asia/Manila	8630330696303481974
44.35056	142.45778	Nayoro	JP	Asia/Tokyo	3590433799317661818
41.57721	-93.71133	West Des Moines	US	America/Chicago	8630330696303482436
-0.71667	-48.52333	Soure	BR	America/Belem	863033069630348248
12.1277	78.15794	Dharmapuri	IN	Asia/Kolkata	8630330696303481818
44.97639	19.61222	Sremska Mitrovica	RS	Europe/Belgrade	8630330696303481495
-25.54073	152.70493	Maryborough	AU	Australia/Brisbane	8630330696303481834
10.58806	77.24779	Udumalaippettai	IN	Asia/Kolkata	8630330696303481792
50.26729	-119.27337	Vernon	CA	America/Vancouver	8630330696303481719
8.35122	-62.64102	Ciudad Guayana	VE	America/Caracas	863033069630348800
-19.32556	-41.25528	Resplendor	BR	America/Sao_Paulo	3590433799317661495
48.52961	12.16179	Landshut	DE	Europe/Berlin	3590433799317662253
48.98994	2.1699	Herblay	FR	Europe/Paris	8630330696303481834
43.78956	7.60872	Ventimiglia	IT	Europe/Rome	8630330696303481446
39.96097	-75.60804	West Chester	US	America/New_York	8630330696303482055
36.33011	138.89585	Annaka	JP	Asia/Tokyo	359043379931766254
46.51872	86.00214	Hoxtolgay	CN	Asia/Urumqi	863033069630348123
41.15376	-87.88754	Bourbonnais	US	America/Chicago	8630330696303482261
51.21667	6.26667	Schwalmtal	DE	Europe/Berlin	8630330696303481511
-8.05389	-34.88111	Recife	BR	America/Recife	359043379931766924
49.5099	6.74549	Losheim	DE	Europe/Berlin	863033069630348016
58.04254	65.27258	Tavda	RU	Asia/Yekaterinburg	8630330696303481123
22.49396	-105.36369	Acaponeta	MX	America/Mazatlan	359043379931766205
32.54278	111.50861	Danjiangkou	CN	Asia/Shanghai	8630330696303482410
28.90054	-81.26367	Deltona	US	America/New_York	8630330696303481735
9.92787	-84.13722	San Rafael	CR	America/Costa_Rica	359043379931766023
46.08333	122.08333	Ulanhot	CN	Asia/Shanghai	359043379931766973
40.92298	14.30935	Afragola	IT	Europe/Rome	359043379931766981
48.49144	9.20427	Reutlingen	DE	Europe/Berlin	863033069630348537
36.65	138.31667	Suzaka	JP	Asia/Tokyo	863033069630348867
39.71734	-74.96933	Sicklerville	US	America/New_York	8630330696303482006
42.97086	-82.42491	Port Huron	US	America/Detroit	359043379931766213
0.49113	29.47306	Beni	CD	Africa/Lubumbashi	359043379931766494
25.92127	86.79271	Madhipura	IN	Asia/Kolkata	3590433799317661636
32.55531	76.12647	Chamba	IN	Asia/Kolkata	3590433799317662048
53.38333	-0.76667	Gainsborough	GB	Europe/London	8630330696303482493
41.24264	16.50104	Bisceglie	IT	Europe/Rome	3590433799317662469
35.6803	51.0193	Shahre Jadide Andisheh	IR	Asia/Tehran	8630330696303482154
10.58806	77.24779	Udumalaippettai	IN	Asia/Kolkata	863033069630348743
5.4709	100.24529	Batu Feringgi	MY	Asia/Kuala_Lumpur	8630330696303481099
27.85	112.9	Xiangtan	CN	Asia/Shanghai	8630330696303481115
-24.19436	29.00974	Mokopane	ZA	Africa/Johannesburg	3590433799317661560
-37.9	145.18333	Wheelers Hill	AU	Australia/Melbourne	359043379931766569
48.25	16.4	Floridsdorf	AT	Europe/Vienna	3590433799317662162
35.05266	-78.87836	Fayetteville	US	America/New_York	3590433799317662378
14.66	120.56528	Pilar	PH	Asia/Manila	3590433799317662105
42.97086	-82.42491	Port Huron	US	America/Detroit	359043379931766056
40.82232	-74.15987	Nutley	US	America/New_York	8630330696303481859
12.04161	75.35927	Talipparamba	IN	Asia/Kolkata	8630330696303482402
46.1351	-60.1831	Sydney	CA	America/Glace_Bay	8630330696303481362
36.72544	3.55665	Thenia	DZ	Africa/Algiers	3590433799317661040
45.79377	8.88104	Malnate	IT	Europe/Rome	8630330696303481107
-4.16694	-40.7475	Guaraciaba do Norte	BR	America/Fortaleza	3590433799317662071
36.75965	137.36215	Namerikawa	JP	Asia/Tokyo	863033069630348701
51.39148	-0.29825	Surbiton	GB	Europe/London	3590433799317662436
7.6	4.18333	Olupona	NG	Africa/Lagos	8630330696303481487
33.86419	48.26258	Aleshtar	IR	Asia/Tehran	3590433799317661123
36.06523	-119.01677	Porterville	US	America/Los_Angeles	359043379931766221
40.60538	-73.75513	Far Rockaway	US	America/New_York	863033069630348479
33.72255	-116.37697	Palm Desert	US	America/Los_Angeles	863033069630348339
-8.05389	-34.88111	Recife	BR	America/Recife	8630330696303482196
14.62578	121.12251	Antipolo	PH	Asia/Manila	8630330696303481818
12.35275	121.06761	San Jose	PH	Asia/Manila	863033069630348602
42.7	27.25	Aytos	BG	Europe/Sofia	359043379931766320
26.18924	-98.15529	San Juan	US	America/Chicago	863033069630348255
44.99012	-123.02621	Keizer	US	America/Los_Angeles	3590433799317662006
43.91452	-69.96533	Brunswick	US	America/New_York	8630330696303481040
31.84568	-102.36764	Odessa	US	America/Chicago	359043379931766254
33.08014	-83.2321	Milledgeville	US	America/New_York	3590433799317661495
38.40917	112.73333	Xinzhou	CN	Asia/Shanghai	8630330696303482428
51.67822	33.9162	Hlukhiv	UA	Europe/Kyiv	8630330696303481156
45.51667	4.86667	Vienne	FR	Europe/Paris	8630330696303481628
58.04254	65.27258	Tavda	RU	Asia/Yekaterinburg	8630330696303481917
39.72943	-104.83192	Aurora	US	America/Denver	3590433799317661339
14.95472	120.89694	Baliuag	PH	Asia/Manila	8630330696303481925
47.38093	-122.23484	Kent	US	America/Los_Angeles	863033069630348644
17.34769	78.55757	Lal Bahadur Nagar	IN	Asia/Kolkata	863033069630348156
43.1009	-75.23266	Utica	US	America/New_York	3590433799317661685
43.67681	4.63031	Arles	FR	Europe/Paris	3590433799317662113
38.37255	34.02537	Aksaray	TR	Europe/Istanbul	3590433799317662014
53.77166	38.12408	Bogoroditsk	RU	Europe/Moscow	3590433799317662089
33.72255	-116.37697	Palm Desert	US	America/Los_Angeles	8630330696303481610
0.49113	29.47306	Beni	CD	Africa/Lubumbashi	8630330696303482105
41.80753	-87.65644	New City	US	America/Chicago	8630330696303481396
46.32313	-0.45877	Niort	FR	Europe/Paris	863033069630348644
53.14657	140.72287	Nikolayevsk-on-Amure	RU	Asia/Vladivostok	3590433799317661891
-16.25	-69.08333	Yunguyo	PE	America/Lima	3590433799317661321
52.47774	10.5511	Gifhorn	DE	Europe/Berlin	3590433799317661321
36.65	138.31667	Suzaka	JP	Asia/Tokyo	8630330696303481172
22.10194	85.37752	Barbil	IN	Asia/Kolkata	8630330696303481875
-6.91806	106.92667	Sukabumi	ID	Asia/Jakarta	3590433799317661578
2.2139	102.3278	Kampung Ayer Molek	MY	Asia/Kuala_Lumpur	8630330696303481883
42.819	47.1192	Buynaksk	RU	Europe/Moscow	8630330696303482220
40.58654	-122.39168	Redding	US	America/Los_Angeles	359043379931766262
24.96334	10.18003	Ghat	LY	Africa/Tripoli	8630330696303481248
-17.74431	-48.62789	Caldas Novas	BR	America/Sao_Paulo	863033069630348156
51.39323	0.47713	Strood	GB	Europe/London	8630330696303481784
38.06084	-97.92977	Hutchinson	US	America/Chicago	359043379931766387
43.32686	-2.98884	Leioa	ES	Europe/Madrid	359043379931766247
15.45144	78.14797	Betamcherla	IN	Asia/Kolkata	8630330696303481990
10.66668	-61.51889	Port of Spain	TT	America/Port_of_Spain	359043379931766353
4.96667	10.7	Tonga	CM	Africa/Douala	3590433799317661438
-11.78333	19.91667	Luena	AO	Africa/Luanda	3590433799317662360
33.92866	-6.90656	Temara	MA	Africa/Casablanca	3590433799317662188
32.05971	34.8732	Ganei Tikva	IL	Asia/Jerusalem	8630330696303481289
-6.8	39.25	Magomeni	TZ	Africa/Dar_es_Salaam	8630330696303482154
-34.88422	150.60036	Nowra	AU	Australia/Sydney	3590433799317661149
-22.97056	-46.99583	Valinhos	BR	America/Sao_Paulo	8630330696303481008
35.50056	117.63083	Pingyi	CN	Asia/Shanghai	359043379931766569
43.78956	7.60872	Ventimiglia	IT	Europe/Rome	8630330696303482477
-19.7625	-44.31389	Esmeraldas	BR	America/Sao_Paulo	8630330696303482097
11.85	38.01667	Debre Tabor	ET	Africa/Addis_Ababa	8630330696303481297
41.55815	-73.0515	Waterbury	US	America/New_York	8630330696303481784
